epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,32.0514,0.4917,0.59045,0.49751,1.04152,0,0.98615,0.85714,0.857,0.82745,0.98615,0.85714,0.85546,0.78496,0.4085,1.89636,0.5974,0.80091,0,0.001208,0.001208,0.001208
42,32.7895,0.43735,0.71473,0.48094,0.96991,0,0.99026,0.85714,0.85739,0.8074,0.99026,0.85714,0.8555,0.7881,0.44993,2.0122,0.5794,0.88421,0,0.0011882,0.0011882,0.0011882
43,33.517,0.42594,0.63836,0.46692,0.97639,0,0.99622,0.85714,0.85682,0.80872,0.99622,0.85714,0.85551,0.77545,0.46009,4.31017,0.57758,0.91603,0,0.0011684,0.0011684,0.0011684
44,34.2274,0.43186,0.71678,0.45314,0.98519,0,0.99668,0.85714,0.86083,0.8003,0.99668,0.85714,0.85553,0.78594,0.43789,3.90364,0.55786,0.923,0,0.0011486,0.0011486,0.0011486
45,34.9446,0.41867,0.5471,0.47025,0.96934,0,0.99651,0.85714,0.86257,0.79681,0.99651,0.85714,0.85554,0.78026,0.40983,4.21545,0.5594,0.90694,0,0.0011288,0.0011288,0.0011288
46,35.6607,0.41876,0.60035,0.4675,0.99645,0,0.99652,0.85714,0.86425,0.80058,0.99652,0.85714,0.85526,0.77336,0.43962,3.85216,0.5479,0.92184,0,0.001109,0.001109,0.001109
47,36.3573,0.3824,0.55921,0.41393,0.95848,0,0.99606,0.85714,0.86936,0.80857,0.99606,0.85714,0.85556,0.7772,0.45352,4.21196,0.50422,0.91568,0,0.0010892,0.0010892,0.0010892
48,37.0764,0.38874,0.48938,0.4385,0.99691,0,0.99677,0.85714,0.86032,0.82172,0.99677,0.85714,0.85561,0.79197,0.42033,4.48623,0.48508,0.82812,0,0.0010694,0.0010694,0.0010694
49,37.7846,0.38988,0.53581,0.41427,1.00525,0,0.99706,0.85714,0.86035,0.82011,0.99706,0.85714,0.85567,0.79525,0.37239,4.36815,0.46368,0.78277,0,0.0010496,0.0010496,0.0010496
50,38.5294,0.39637,0.59834,0.42364,0.97865,0,0.99712,0.85714,0.85924,0.81805,0.99712,0.85714,0.85564,0.80525,0.34224,2.97871,0.48473,0.73844,0,0.0010298,0.0010298,0.0010298
51,39.249,0.38789,0.61482,0.43917,0.97676,0,0.99694,0.85714,0.85788,0.81804,0.99694,0.85714,0.85556,0.79911,0.33267,2.6016,0.41517,0.74782,0,0.00101,0.00101,0.00101
52,39.9689,0.37411,0.60174,0.41771,0.95466,0,0.99606,0.85714,0.85925,0.81859,0.99606,0.85714,0.85552,0.78721,0.36362,3.63863,0.47176,0.7921,0,0.0009902,0.0009902,0.0009902
53,40.6634,0.38019,0.57714,0.40592,0.99165,0,0.99694,0.85714,0.86273,0.82174,0.99694,0.85714,0.85538,0.79402,0.38874,3.4707,0.46488,0.78774,0,0.0009704,0.0009704,0.0009704
54,41.3842,0.38109,0.63119,0.42528,0.98553,0,0.99701,0.85714,0.86518,0.77952,0.99701,0.85714,0.8554,0.78952,0.43741,3.37019,0.50722,0.81852,0,0.0009506,0.0009506,0.0009506
55,42.0791,0.43266,0.66088,0.40973,1.00888,0,0.99699,0.85714,0.86445,0.82125,0.99699,0.85714,0.85542,0.79557,0.41954,3.34066,0.50333,0.79895,0,0.0009308,0.0009308,0.0009308
56,42.7824,0.3933,0.52174,0.40466,0.98089,0,0.99674,0.85714,0.86003,0.82524,0.99674,0.85714,0.85564,0.80102,0.3357,1.1482,0.43328,0.73531,0,0.000911,0.000911,0.000911
57,43.5228,0.34234,0.5041,0.37309,0.93732,0,0.99663,0.85714,0.86275,0.81586,0.99663,0.85714,0.85569,0.80288,0.33272,1.30096,0.4362,0.74126,0,0.0008912,0.0008912,0.0008912
58,44.26,0.37901,0.5742,0.38363,0.97602,0,0.99671,0.85714,0.86191,0.82651,0.99671,0.85714,0.8557,0.80004,0.32016,1.4644,0.44001,0.73971,0,0.0008714,0.0008714,0.0008714
59,44.9791,0.4197,0.6289,0.40606,1.02273,0,0.99686,0.85714,0.86071,0.8218,0.99686,0.85714,0.85805,0.80427,0.3531,1.96923,0.44255,0.75702,0,0.0008516,0.0008516,0.0008516
60,45.6938,0.38634,0.54031,0.4058,0.99471,0,0.99715,0.85714,0.8644,0.82434,0.99715,0.85714,0.86043,0.80522,0.38563,1.78859,0.49574,0.79156,0,0.0008318,0.0008318,0.0008318
61,46.3934,0.34052,0.4676,0.37044,0.94498,0,0.99691,0.85714,0.86499,0.81652,0.99691,0.85714,0.86049,0.80094,0.40034,2.67442,0.49545,0.78478,0,0.000812,0.000812,0.000812
62,47.1016,0.31495,0.45729,0.35218,0.92926,0,0.99681,0.85714,0.86407,0.81501,0.99681,0.85714,0.85972,0.80294,0.40786,2.91465,0.51538,0.78554,0,0.0007922,0.0007922,0.0007922
63,47.8137,0.36838,0.48298,0.39757,0.963,0,0.99652,0.85714,0.86248,0.81254,0.99652,0.85714,0.85672,0.79299,0.39621,1.85607,0.51561,0.79338,0,0.0007724,0.0007724,0.0007724
64,48.5568,0.33908,0.53122,0.35247,0.93376,0,0.99639,0.85714,0.86312,0.79759,0.99639,0.85714,0.85563,0.79039,0.38858,1.00933,0.48451,0.84115,0,0.0007526,0.0007526,0.0007526
65,47.8518,0.36605,0.49687,0.35124,0.95572,0,0.99679,0.85714,0.8642,0.81483,0.99679,0.85714,0.85555,0.7987,0.39006,1.47813,0.48396,0.84458,0,0.0007328,0.0007328,0.0007328
66,48.5538,0.33415,0.5429,0.33202,0.95917,0,0.99708,0.85714,0.87117,0.80447,0.99708,0.85714,0.85539,0.79377,0.37709,2.67259,0.44678,0.83148,0,0.000713,0.000713,0.000713
67,49.276,0.39726,0.56967,0.40378,0.98671,0,0.99706,0.85714,0.87431,0.79763,0.99706,0.85714,0.85539,0.79435,0.38317,3.40956,0.44307,0.82977,0,0.0006932,0.0006932,0.0006932
68,49.9967,0.30444,0.44341,0.33275,0.93162,0,0.99702,0.85714,0.87317,0.81904,0.99702,0.85714,0.8554,0.80507,0.35723,3.44763,0.43477,0.76635,0,0.0006734,0.0006734,0.0006734
