epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,169.237,1.11905,1.76659,1.55485,1.39181,0,0.4743,0.68254,0.52642,0.31119,0.45687,0.68254,0.49807,0.30787,1.17572,1.70175,2.24352,1.43286,0,0.0012674,0.0012674,0.0012674
39,173.848,1.05434,1.68425,1.32291,1.35994,0,0.45171,0.60317,0.49596,0.29572,0.45171,0.60317,0.4627,0.29418,1.09083,1.74943,1.96942,1.37955,0,0.0012476,0.0012476,0.0012476
40,178.45,0.99803,1.59732,1.38541,1.29614,0,0.53763,0.42857,0.43995,0.28072,0.51491,0.44444,0.40679,0.27037,1.03482,1.87242,1.92472,1.31839,0,0.0012278,0.0012278,0.0012278
41,183.055,0.98863,1.64397,1.39973,1.24198,0,0.5178,0.61905,0.49276,0.31451,0.53198,0.63492,0.50373,0.31801,1.10567,1.71983,2.34786,1.37192,0,0.001208,0.001208,0.001208
42,187.67,0.90458,1.5304,1.26663,1.24178,0,0.43973,0.61905,0.53276,0.37263,0.43973,0.61905,0.53276,0.33363,0.97215,1.73536,1.90788,1.27599,0,0.0011882,0.0011882,0.0011882
43,192.366,0.99424,1.57045,1.24501,1.29591,0,0.47999,0.60317,0.53983,0.36245,0.48478,0.63492,0.53492,0.3534,0.93171,1.72503,3.4219,1.29605,0,0.0011684,0.0011684,0.0011684
44,196.931,1.01096,1.68182,1.25892,1.32551,0,0.5009,0.55556,0.55683,0.37491,0.50504,0.57143,0.53645,0.35732,0.89693,1.53775,1.49133,1.22253,0,0.0011486,0.0011486,0.0011486
45,199.083,1.01841,1.59154,1.26972,1.32252,0,0.45605,0.58557,0.5194,0.36018,0.45605,0.58557,0.50631,0.3587,0.9289,1.78961,2.29365,1.2502,0,0.0011288,0.0011288,0.0011288
46,203.629,0.89323,1.46378,1.52678,1.2079,0,0.48502,0.62792,0.53313,0.37718,0.48502,0.62792,0.51189,0.36555,0.89584,1.79344,2.05157,1.25156,0,0.001109,0.001109,0.001109
47,208.258,1.02307,1.61851,1.4676,1.28785,0,0.58494,0.52381,0.55612,0.37599,0.50491,0.52381,0.49891,0.3563,0.87265,2.16746,1.62876,1.18968,0,0.0010892,0.0010892,0.0010892
